abbrev,region,total,actionable_risk_score,campaign_cost,benefit_per_dollar,funding_fraction_LP
AL,South,18.8,11.902460131003423,784.55,0.015171066383281402,1.0
HI,West,17.5,15.160265769819954,861.18,0.017604061601314423,1.0
AR,South,22.4,11.75931103975782,827.34,0.014213395991681558,1.0
ID,West,15.3,9.32463335638636,641.96,0.014525256022783912,1.0
TN,South,19.5,11.445110341981955,767.91,0.014904234014379231,1.0
NC,South,16.8,10.957986770844988,708.24,0.015472137652271812,1.0
SC,South,23.9,20.130368860824355,858.97,0.023435473719483048,1.0
WV,South,23.8,13.97770115833722,992.61,0.014081765404677789,1.0
WI,Midwest,13.8,9.467618395911051,670.31,0.014124238629754968,1.0
WY,West,17.4,11.760965164687407,791.14,0.014865845696953013,1.0
TX,South,19.4,15.283775837543736,1004.75,0.015211521112260498,1.0
SD,Midwest,19.4,13.163892549866139,669.31,0.019667855776644812,1.0
MO,Midwest,16.1,11.523128036462282,790.32,0.014580332063546768,1.0
MT,West,21.4,19.286345191142395,816.21,0.023629145919729474,1.0
ND,Midwest,23.9,20.049756809278364,688.75,0.02911035471401577,1.0
NE,Midwest,14.9,10.278391368221088,732.28,0.014036149243760704,1.0
ME,Northeast,15.1,9.5372800917933,661.88,0.01440937948237339,1.0
OH,Midwest,14.1,9.77408916651069,697.73,0.014008411801858441,0.433895632981242
AK,West,18.1,9.7804283730496,1053.48,0.0092839241115632,0.0
LA,South,20.5,14.033432352138375,1281.55,0.010950358824968495,0.0
KY,South,21.4,10.03694804010357,872.51,0.011503533529820368,0.0
KS,Midwest,17.8,8.903218705145274,780.45,0.011407801531354057,0.0
IA,Midwest,15.7,7.917762434538472,649.06,0.012198814338487154,0.0
IN,Midwest,14.5,8.597561108123264,710.46,0.01210140065327149,0.0
IL,Midwest,12.8,9.026698751070397,803.11,0.011239679186002412,0.0
FL,South,17.9,10.506024365203945,1160.13,0.009055902670566182,0.0
GA,South,15.6,7.914181630803868,913.15,0.008666902076114404,0.0
CT,Northeast,10.8,8.192126106579485,1068.73,0.0076652906782625025,0.0
CO,West,13.6,8.048524240932425,835.5,0.009633182813803022,0.0
DC,South,5.9,3.3520663095169265,1273.89,0.00263136244849785,0.0
DE,South,16.2,10.232048840202083,1137.87,0.008992282809285844,0.0
CA,West,12.0,7.065599956017847,878.41,0.008043624225609735,0.0
AZ,West,18.6,10.951679931827663,899.47,0.012175703394029442,0.0
MI,Midwest,14.1,8.069177393181192,1110.61,0.0072655364107843375,0.0
MD,South,12.5,8.298806393759495,1048.78,0.007912819079081881,0.0
NM,West,18.4,10.039452289897355,869.85,0.011541590262570966,0.0
NY,Northeast,12.3,7.42239376053903,1234.31,0.006013395144282256,0.0
NH,Northeast,11.6,7.274395589803622,746.54,0.009744147118444587,0.0
NJ,Northeast,11.2,6.2750134487388705,1301.52,0.004821296214225575,0.0
NV,West,14.7,9.825618128743073,1029.87,0.00954063923479961,0.0
MA,Northeast,8.2,5.779697900813386,1011.14,0.005716021422170408,0.0
MS,South,17.6,10.845507854952375,896.07,0.012103415865894824,0.0
MN,Midwest,9.6,5.663347124747238,777.18,0.007287046919307288,0.0
RI,Northeast,11.1,8.644832366989997,1148.99,0.007523853442580002,0.0
OK,South,19.9,12.00858827924607,881.51,0.01362274764806533,0.0
OR,West,12.8,7.0079189492250284,804.71,0.008708626647146212,0.0
PA,Northeast,18.2,12.171778328241214,905.99,0.013434782203160314,0.0
VA,South,12.7,6.929404569657414,768.95,0.009011515143582045,0.0
VT,Northeast,13.6,8.426490999029498,716.2,0.011765555709340266,0.0
UT,West,11.3,4.192238895524531,809.38,0.005179568182466247,0.0
WA,West,10.6,7.367732185208515,890.03,0.00827807173377135,0.0
